text,color,fontFamily,fontSize,fontWeight,left,top,frequency,offx,offy
tender,#000000,Raleway,90,500,412,429,90,165.13750000000002,108
chilled,#000000,Raleway,90,500,44,366,90,155.34062500000002,108
mild,#000000,Raleway,90,500,37,114,90,101.03958892822267,108
soothing,#000000,Raleway,81,500,-19,292,81,189.79583892822268,97.2
satisfied,#000000,Raleway,78,500,326,298,78,180.09062500000002,93.6
placid,#000000,Raleway,75,500,470,71,75,119.54479446411133,90
glad,#000000,Raleway,75,500,495,11,75,84.321875,90
calm,#000000,Raleway,72,500,27,68,72,89.38646392822267,86.39999999999999
delight,#000000,Raleway,72,500,135,458,72,134.77291946411134,86.39999999999999
joyous,#000000,Raleway,67,500,305,517,67,114.60625,80.39999999999999
balmy,#000000,Raleway,61,500,352,383,61,96.33021392822266,73.2
pleasant,#000000,Raleway,61,500,539,365,61,139.17291946411135,73.2
tranquil,#000000,Raleway,52,500,635,309,52,111.08854446411134,62.4
smile,#000000,Raleway,52,500,516,134,52,70.84687500000001,62.4
serene,#000000,Raleway,30,500,62,58,30,54.10625,36
